Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
TJX,TJX INC,Consumer Discretionary,Equity,"857,204,470.80",0.26,"857,204,470.80","10,352,711.00",82.80,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
GILD,GILEAD SCIENCES INC,Health Care,Equity,"852,416,957.37",0.26,"852,416,957.37","11,214,537.00",76.01,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MMC,MARSH & MCLENNAN INC,Financials,Equity,"816,497,331.60",0.25,"816,497,331.60","4,447,880.00",183.57,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
C,CITIGROUP INC,Financials,Equity,"812,119,897.60",0.25,"812,119,897.60","17,502,584.00",46.40,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"803,778,228.56",0.24,"803,778,228.56","2,315,563.00",347.12,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"800,828,795.67",0.24,"800,828,795.67","3,714,247.00",215.61,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CVS,CVS HEALTH CORP,Health Care,Equity,"791,624,704.36",0.24,"791,624,704.36","11,526,277.00",68.68,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"786,556,936.88",0.24,"786,556,936.88","4,190,054.00",187.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"784,046,359.76",0.24,"784,046,359.76","1,207,786.00",649.16,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"737,786,633.98",0.22,"737,786,633.98","13,360,859.00",55.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CI,CIGNA,Health Care,Equity,"733,652,822.00",0.22,"733,652,822.00","2,660,090.00",275.80,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"711,600,599.52",0.22,"711,600,599.52","16,048,728.00",44.34,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"709,078,211.58",0.22,"709,078,211.58","4,154,674.00",170.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
ETN,EATON PLC,Industrials,Equity,"708,309,806.05",0.21,"708,309,806.05","3,583,657.00",197.65,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
CB,CHUBB LTD,Financials,Equity,"706,471,317.75",0.21,"706,471,317.75","3,723,169.00",189.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
TMUS,T MOBILE US INC,Communication,Equity,"705,106,234.44",0.21,"705,106,234.44","5,178,132.00",136.17,United States,NASDAQ,USD,1.0,USD,-,iShares Core S&P 500 ETF,IVV,2023-06-27
