Accrual Date,Asset Class,Currency,Exchange,FX Rate,Location,Market Currency,Market Value,Name,Notional Value,Price,Sector,Shares,Ticker,Type,Weight (%),as_of_date,etf_name,etf_ticker
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,068,515,114.22",GENERAL ELECTRIC,"1,068,515,114.22",108.27,Industrials,"9,868,986.00",GE,,0.32,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,058,808,033.35",AMGEN INC,"1,058,808,033.35",218.65,Health Care,"4,842,479.00",AMGN,,0.32,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"1,052,035,910.46",INTUITIVE SURGICAL INC,"1,052,035,910.46",331.29,Health Care,"3,175,574.00",ISRG,,0.32,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,035,602,957.13",MEDTRONIC PLC,"1,035,602,957.13",85.89,Health Care,"12,057,317.00",MDT,,0.31,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,021,048,262.06",SERVICENOW INC,"1,021,048,262.06",552.98,Information Technology,"1,846,447.00",NOW,,0.31,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,020,952,974.47",PROLOGIS REIT INC,"1,020,952,974.47",121.99,Real Estate,"8,369,153.00",PLD,,0.31,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"1,011,367,076.51",AT&T INC,"1,011,367,076.51",15.61,Communication,"64,789,691.00",T,,0.3,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,NASDAQ,1.0,United States,USD,"997,916,373.55",STARBUCKS CORP,"997,916,373.55",96.05,Consumer Discretionary,"10,389,551.00",SBUX,,0.3,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"990,423,669.28",DEERE,"990,423,669.28",405.28,Industrials,"2,443,801.00",DE,,0.3,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"984,144,908.96",MORGAN STANLEY,"984,144,908.96",83.36,Financials,"11,805,961.00",MS,,0.3,2023-07-07,iShares Core S&P 500 ETF,ivv
-,Equity,USD,New York Stock Exchange Inc.,1.0,United States,USD,"949,574,747.49",GOLDMAN SACHS GROUP INC,"949,574,747.49",315.17,Financials,"3,012,897.00",GS,,0.28,2023-07-07,iShares Core S&P 500 ETF,ivv
