Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,etf_name,etf_ticker,as_of_date
CANO,CANO HEALTH INC CLASS A,Health Care,Equity,"246,213.12",0.0,"246,213.12","192,354.00",1.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
PLSE,PULSE BIOSCIENCES INC,Health Care,Equity,"231,353.50",0.0,"231,353.50","34,790.00",6.65,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ASUR,ASURE SOFTWARE INC,Industrials,Equity,"230,959.08",0.0,"230,959.08","19,441.00",11.88,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CMPX,COMPASS THERAPEUTICS,Health Care,Equity,"227,476.08",0.0,"227,476.08","72,909.00",3.12,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
LLAP,TERRAN ORBITAL CORP,Industrials,Equity,"225,047.90",0.0,"225,047.90","146,135.00",1.54,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ARIS,ARIS WATER SOLUTIONS INC CLASS A,Industrials,Equity,"225,327.88",0.0,"225,327.88","21,419.00",10.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
WKHS,WORKHORSE GROUP INC,Consumer Discretionary,Equity,"223,775.13",0.0,"223,775.13","226,104.00",0.99,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
FG,F&G ANNUITIES AND LIFE INC,Financials,Equity,"216,868.96",0.0,"216,868.96","8,932.00",24.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
HSHP,HIMALAYA SHIPPING LTD,Industrials,Equity,"209,910.09",0.0,"209,910.09","37,551.00",5.59,Norway,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
KLXE,KLX ENERGY SERVICES HOLDINGS INC,Energy,Equity,"210,599.72",0.0,"210,599.72","21,446.00",9.82,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
RDW,REDWIRE CORP,Industrials,Equity,"193,055.15",0.0,"193,055.15","73,405.00",2.63,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
PRST,PRESTO AUTOMATION INC,Information Technology,Equity,"190,312.40",0.0,"190,312.40","35,908.00",5.30,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
DFLI,DRAGONFLY ENERGY HOLDINGS CORP,Industrials,Equity,"190,663.50",0.0,"190,663.50","127,109.00",1.50,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
RENT,RENT THE RUNWAY INC CLASS A,Consumer Discretionary,Equity,"189,273.24",0.0,"189,273.24","92,781.00",2.04,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
PEPG,PEPGEN LTD,Health Care,Equity,"186,163.20",0.0,"186,163.20","20,480.00",9.09,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
GNLX,GENELUX CORP,Health Care,Equity,"184,512.00",0.0,"184,512.00","5,952.00",31.00,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
OBIO,ORCHESTRA BIOMED HOLDINGS INC,Health Care,Equity,"182,971.41",0.0,"182,971.41","27,681.00",6.61,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
ATRA,ATARA BIOTHERAPEUTICS INC,Health Care,Equity,"176,132.25",0.0,"176,132.25","110,775.00",1.59,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
AVAH,AVEANNA HEALTHCARE HOLDINGS INC,Health Care,Equity,"172,288.66",0.0,"172,288.66","109,738.00",1.57,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CXAI,CXAPP INC,Information Technology,Equity,"172,623.28",0.0,"172,623.28","16,316.00",10.58,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
CLAR,CLARUS CORP,Consumer Discretionary,Equity,"169,836.80",0.0,"169,836.80","18,955.00",8.96,United States,NASDAQ,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
IAUX,I GOLD CORP,Materials,Equity,"164,761.92",0.0,"164,761.92","72,264.00",2.28,Canada,Nyse Mkt Llc,USD,1.0,USD,-,iShares Russell 2000 Growth ETF,IWO,2023-07-03
